서울/경기,시/군/구,동,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
서울특별시,마포구,염리동,168-9,스타벅스커피 마포염리,영업,201610,203001,195292.9726,449083.0603
서울특별시,강남구,신사동,609,스타벅스 압구정점,영업,201606,203001,202541.8101,447121.0253
서울특별시,마포구,서교동,374-20,스타벅스커피 서교동사거리,영업,201601,203001,192733.3762,450133.22
서울특별시,강남구,논현동,59-8,스타벅스 을지병원사거리점,영업,201504,203001,202468.1651,446326.897
서울특별시,종로구,종로1가,1,스타벅스 광화문교보문고점,영업,202208,203001,197993.9046,452032.9586
서울특별시,강남구,신사동,529-10,스타벅스 가로수길점,영업,201310,203001,201842.0217,446774.2874
서울특별시,마포구,신공덕동,69-2,스타벅스마포이마트,영업,201201,203001,,
서울특별시,강남구,대치동,942-5,스타벅스포스코점,영업,201007,203001,205053.8257,444843.0261
서울특별시,강남구,역삼동,681-0,스타벅스 아크로힐스 논현,영업,200912,203001,203502.7507,445197.6166
서울특별시,금천구,가산동,60-8,스타벅스 가산현대아울렛점,영업,202205,203001,190119.4634,441716.6846
서울특별시,중랑구,망우동,618,스타벅스 양원역점,영업,202208,203001,209310.6071,456035.3879
서울특별시,노원구,상계동,730-4,스타벅스 노원상계점,영업,202210,203001,205308.9238,461020.6648
서울특별시,마포구,상암동,1623,스타벅스 디지털미디어시티역점,영업,202205,203001,190976.7202,452652.6863
서울특별시,용산구,청파동2가,53-12,스타벅스 숙명여대정문점,영업,202208,203001,196831.4618,449320.3704
서울특별시,강서구,마곡동,759-2,스타벅스 마곡웰튼점,영업,202203,203001,184496.438,451677.5754
서울특별시,광진구,자양동,855,스타벅스 뚝섬유원지역,영업,202203,203001,205945.9882,447862.352
서울특별시,강서구,등촌동,689,스타벅스 강서NC점,영업,202109,203001,185824.4285,450866.2521
서울특별시,광진구,자양동,227-342,스타벅스 건국클래식점,영업,201206,203001,206217.4347,448506.2187
서울특별시,강남구,개포동,167-9,스타벅스 개포동점,영업,202304,203001,205300.8438,442296.3188
서울특별시,종로구,세종로,185-2,스타벅스 광화문점,영업,200202,203001,197837.6676,452107.2874
서울특별시,종로구,연건동,128-8,스타벅스 대학로점,영업,201301,203001,200059.3575,452693.7243
서울특별시,도봉구,창동,135-26,스타벅스 창동이마트점,영업,201906,203001,204107.0903,461072.6424
서울특별시,강서구,마곡동,798-3,스타벅스 마곡역점,영업,202003,203001,184572.4139,450792.4818
서울특별시,용산구,이태원동,658,스타벅스 경리단길점,영업,202206,203001,198806.8397,448482.5246
서울특별시,송파구,거여동,21-8,스타벅스 송파거여역점,영업,202206,203001,212638.4044,443502.4681
서울특별시,강서구,마곡동,759-3,스타벅스 마곡나루역점,영업,201709,203001,184555.6892,451767.8335
서울특별시,강서구,마곡동,773-2,스타벅스 마곡GMG점,영업,201704,203001,184824.2758,450916.7579
서울특별시,강남구,역삼동,747-21,스타벅스 구역삼사거리점,영업,200805,203001,203367.6909,443747.4596
서울특별시,용산구,한강로3가,40-999,스타벅스용산아이파크몰점,영업,200410,203001,196762.0774,447480.0396
서울특별시,강남구,도곡동,467-17,스타벅스SSG마켓도곡R,영업,200301,203001,204749.3045,443058.1947
서울특별시,강남구,역삼동,826-26,스타벅스 강남비젼타워점,영업,201203,203001,202550.9219,443816.8734
서울특별시,종로구,동숭동,30,스타벅스 동숭로아트점,영업,201109,203001,200275.4418,453409.1606
서울특별시,동작구,사당동,1031-27,스타벅스 사당역점,영업,200912,203001,198280.6647,441811.9827
서울특별시,강남구,역삼동,736-1,스타벅스아크플레이스,영업,200604,203001,203016.1838,444168.206
서울특별시,성북구,안암동5가,126-1,스타벅스 고대안암병원점,영업,202207,203001,202313.8508,453871.2647
서울특별시,구로구,구로동,81-3,스타벅스 구로구청점,영업,202206,203001,189925.8462,443503.1819
서울특별시,영등포구,여의도동,17-3,스타벅스국회의사당역점,영업,201610,203001,192585.6934,447295.1942
서울특별시,영등포구,여의도동,12,스타벅스여의도공원R,영업,201612,203001,193293.252,447448.3429
서울특별시,영등포구,여의도동,23-6,스타벅스여의도역R,영업,201602,203001,193165.4901,446797.3414
서울특별시,영등포구,여의도동,43-4,스타벅스커피 동여의도점,영업,201501,203001,193896.2821,446442.5714
서울특별시,마포구,합정동,473,스타벅스 합정푸르지오점,영업,202206,203001,192142.2714,449868.9646
서울특별시,마포구,아현동,330-5,스타벅스 아현역대로점,영업,202205,203001,195939.5038,450525.5454
서울특별시,강남구,수서동,724,스타벅스 수서역사거리점,영업,202109,203001,209052.0725,442797.1382
서울특별시,강동구,성내동,448-8,스타벅스 올림픽공원북2문점,영업,202107,203001,211309.3565,446899.8128
서울특별시,동대문구,전농동,591-53,스타벅스 청량리역사점,영업,202104,203001,204081.2821,453187.3952
서울특별시,강남구,세곡동,551,스타벅스 강남세곡점,영업,202104,203001,208771.13,440573.375
서울특별시,송파구,방이동,44-3,스타벅스 몽촌토성역점,영업,202007,203001,209929.5748,446085.1213
서울특별시,송파구,가락동,479,스타벅스 송파헬리오시티점,영업,202004,203001,,
서울특별시,강동구,성내동,550,스타벅스 강동구청DT점,영업,201906,203001,210872.7504,447441.9151
서울특별시,중구,을지로7가,143,스타벅스 동대문디자인플라자점,영업,202210,203001,200806.1803,451624.0926
서울특별시,중구,태평로1가,62-12,스타벅스 세종대로점,영업,202210,203001,197847.6597,451811.6308
서울특별시,강남구,역삼동,788-10,스타벅스도곡공원점,영업,201708,203001,203579.748,443435.1584
서울특별시,용산구,한강로2가,342,스타벅스신용산역점,영업,201708,203001,,
서울특별시,동대문구,회기동,60-40,스타벅스경희대삼거리점,영업,201705,203001,204524.9763,454361.7357
서울특별시,동대문구,답십리동,497-67,스타벅스답십리역점,영업,201704,203001,204447.6981,451803.5584
서울특별시,송파구,방이동,226-10,스타벅스 송파방이 DT점,영업,201609,203001,210591.6927,444928.2824
서울특별시,강동구,성내동,441-2,스타벅스 둔촌동점,영업,201603,203001,211769.2321,446732.6402
서울특별시,용산구,용산동2가,1-3,스타벅스서울타워점,영업,201602,203001,198994.0019,449630.9532
서울특별시,중구,충정로1가,68,스타벅스 문화일보점,영업,200206,203001,197164.2265,451647.6741
서울특별시,송파구,송파동,96-7,스타벅스 송파사거리점,영업,201507,203001,209689.1546,444455.0269
서울특별시,동대문구,신설동,76-10,스타벅스 신설동역,영업,201507,203001,202185.9385,452713.197
서울특별시,강남구,대치동,651,스타벅스커피 도곡역점,영업,201408,203001,205004.7797,443335.5182
서울특별시,성북구,동소문동2가,11,스타벅스삼선교점,영업,201401,203001,200571.6309,454038.3821
서울특별시,송파구,방이동,89-12,스타벅스 올림픽아파트점,영업,201302,203001,211708.2647,445907.5829
서울특별시,마포구,서교동,490,스타벅스합정메세나몰,영업,201208,203001,192311.6426,449855.6439
서울특별시,성북구,동선동1가,92-1,스타벅스 성신여대점,영업,201204,203001,201557.0137,454536.0132
서울특별시,강남구,역삼동,798-30,스타벅스 역삼럭키,영업,201201,203001,203413.9787,443341.6429
서울특별시,용산구,갈월동,69-5,스타벅스숙대입구역점,영업,201103,203001,197451.0447,449107.8815
서울특별시,동대문구,회기동,16-41,스타벅스 경희대점,영업,201009,203001,204595.4983,454513.1812
서울특별시,용산구,갈월동,90-8,스타벅스남영동,영업,201609,203001,197477.9826,448957.2477
서울특별시,용산구,한남동,657-104,스타벅스커피 순천향입구점,영업,201305,203001,200429.934,447913.1431
서울특별시,종로구,동숭동,1-115,스타벅스 마로니에공원점,영업,200912,203001,200137.1187,453249.5626
서울특별시,종로구,당주동,128-27,스타벅스 경희궁로점,영업,201907,203001,197484.9839,452162.3045
서울특별시,광진구,화양동,5-45,스타벅스건국대점,영업,201910,203001,206213.7053,448817.7952
서울특별시,종로구,적선동,156,스타벅스정부서울청사R,영업,201801,203001,197595.1613,452460.0546
서울특별시,종로구,교북동,126,스타벅스 독립문역,영업,201801,203001,196522.367,452140.273
서울특별시,종로구,인의동,48-2,스타벅스주얼리시티점,영업,200611,203001,199812.6096,452132.6483
서울특별시,종로구,종로2가,84-14,스타벅스 종각점,영업,200607,203001,198567.9474,451965.8381
서울특별시,종로구,사직동,9,스타벅스 스페이스본점,영업,200801,203001,197181.3933,452458.8267
서울특별시,종로구,적선동,66,스타벅스적선점,영업,200209,203001,197629.279,452546.6215
서울특별시,종로구,명륜3가,154-3,스타벅스성대입구점,영업,200805,203001,199782.5422,453412.7926
서울특별시,종로구,재동,109,스타벅스 안국점,영업,201406,203001,198662.7167,452786.9048
서울특별시,종로구,수송동,146-1,스타벅스 이마빌딩점,영업,201106,203001,198076.879,452402.1953
서울특별시,종로구,평동,108-1,스타벅스 강북삼성병원1층점,영업,202107,203001,197111.9696,451776.4437
서울특별시,중구,남산동3가,13-31,스타벅스 명동남산,영업,202010,203001,198735.0683,450940.7599
서울특별시,중구,저동2가,89,스타벅스 포포인츠 명동,영업,202107,203001,198996.3666,451477.7041
서울특별시,중구,남대문로5가,253,스타벅스 숭례문에스지타워,영업,202008,203001,,
서울특별시,중구,수표동,47-1,스타벅스 청계크리스탈스퀘어점,영업,202203,203001,,
서울특별시,중구,을지로6가,18-12,스타벅스 동대문두타점,영업,201909,203001,200703.6256,451836.4583
서울특별시,중구,필동2가,10,스타벅스 충무로역점,폐업,201105,20230,199393.7481,451020.3172
서울특별시,중구,저동2가,24-1,스타벅스 중구저동점,영업,201412,203001,199078.3726,451354.5064
서울특별시,중구,태평로1가,25,스타벅스 한국프레스센터점,영업,201603,203001,197964.0955,451694.0357
서울특별시,강북구,미아동,35-30,스타벅스커피 미아사거리역점,영업,201412,203001,202647.3924,456612.3679
서울특별시,서초구,잠원동,37-7,스타벅스커피 논현역점,영업,201409,203001,201751.1356,445484.5858
서울특별시,중구,서소문동,75,스타벅스 서소문로점,영업,201410,203001,,
서울특별시,중구,장충동1가,62-35,스타벅스 동대입구역점,영업,201611,203001,200478.4265,450822.6102
