서울/경기,시/군/구,동,리,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값,위도,경도
경기도,수원팔달구,매산동,,18,스타벅스 수원역AK R점,영업,202110,203001,199920.194662903,418246.927112644,37.2656360259,127.000033255
경기도,수원장안구,연무동,,247-16,스타벅스 수원연무DT점,영업,201909,203001,202475.526984807,421134.605860922,37.2922365884,127.028717129
경기도,수원권선구,권선동,,1189,스타벅스 수원이마트점,영업,200112,203001,201782.733115582,416501.699707548,37.2504974396,127.0208246964
경기도,수원장안구,정자동,,79-7,스타벅스 수원정자사거리DT점,영업,202211,203001,200287.264935293,421022.694554993,37.2912072252,127.0040158811
경기도,수원장안구,송죽동,,506-2,스타벅스 수원종합운동장점,영업,202111,203001,200709.964197603,422148.069630048,37.301322644,127.0087788189
경기도,수원장안구,천천동,,524-4,스타벅스 수원천천점,영업,201802,203001,198394.651596664,421700.373911859,37.2972904273,126.9826850362
경기도,수원영통구,영통동,,1046-4,스타벅스 수원청명점,영업,202208,203001,206871.299962032,416963.513323882,37.2546010607,127.078286779
경기도,수원권선구,금곡동,,1077,스타벅스 수원호매실점,영업,201806,203001,194646.914639846,419291.253978224,37.2761926571,126.9399324701
경기도,수원팔달구,우만동,,58-32,스타벅스 아주대점,영업,201207,203001,203777.16251345,419745.57021764,37.2796474995,127.0433698116
경기도,수원영통구,영통동,,981-2,스타벅스 영통R점,영업,201901,203001,205421.24649796,415910.045603608,37.2451399847,127.0619002742
경기도,수원팔달구,인계동,,1114-1,스타벅스뉴코아동수원점,폐업,200112,201208,202973.411454839,418262.114394234,37.2662986444,127.0343149778
경기도,수원장안구,파장동,,469-4,스타벅스북수원IC DT점,영업,201808,203001,199801.843050476,422867.506310051,37.3077609953,126.9986147341
경기도,수원팔달구,매산동,,53-9,스타벅스수원매산점,영업,200608,203001,200184.173291412,418393.06389151,37.2674411484,127.0027281574
경기도,수원팔달구,매산동,,18,스타벅스수원역점,폐업,200302,200909,199920.315059193,418246.163173145,37.2673114745,126.9997627732
경기도,수원영통구,영통동,,958-2,스타벅스수원영통점,영업,201204,203001,206521.718164127,417068.663604595,37.2555242912,127.0743122195
