사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
스타벅스 죽전이마트점,영업,200509,202301,209673.343954233,424823.677745145
스타벅스 한국민속촌DT점,영업,202201,202301,210286.96877448,417102.59675022
스타벅스구성트레이더스점,영업,201011,202301,209243.914102046,422542.543014576
스타벅스용인김량장DT점,영업,201909,202301,218601.74913377,415322.076635234
스타벅스용인마북DT점,영업,201509,202301,209720.79250448,421419.360361644
스타벅스용인마평DT점,영업,202101,202301,219166.320731211,414656.251397406
스타벅스용인에버랜드,영업,201906,202301,219138.424611781,420903.964757574
스타벅스용인역북점,영업,202204,202301,216686.158763357,414498.717279273
스타벅스용인한숲시티점,영업,202302,202301,215347.334313907,405653.971545843
스타벅스죽전단국대점,영업,201901,202301,211001.541952792,424721.46975649
스타벅스커피 수지동천점,영업,201410,202301,207994.2650405,425998.124418042
스타벅스커피 수지성복DT점,영업,201408,202301,206951.755756515,423564.471570682
스타벅스커피 용인기흥구청점,영업,201405,202301,209711.832402632,419989.558386569
스타벅스커피 죽전점,영업,201407,202301,210985.43219531,425505.727440687
스타벅스커피수원IC DT점,영업,201401,202301,206550.846428051,418354.710264692
스타벅스커피수지풍덕천점,영업,201511,202301,208373.03078927,424467.809661304
스타벅스커피용인처인구청,영업,201307,202301,217934.748225427,414761.554825552
스타벅스 의왕내손점,영업,202012,202301,197883.320814488,431892.96613804
스타벅스 의왕롯데몰점,영업,202109,202301,200775.6096513,430435.021970577
스타벅스 의왕삼동DT점,영업,202303,202301,196149.960808782,423832.086926049
스타벅스 의왕청계DT점,영업,202001,202301,199787.16438548,431808.243699666
스타벅스 의왕포일점,영업,201704,202301,198547.930744254,432674.976399617
스타벅스 신세계의정부2층점,영업,201204,202301,204011.301931196,470564.015529834
스타벅스 신세계의정부6층점,영업,201204,202301,204011.301931196,470564.015529834
스타벅스 의정부공원점,영업,201711,202301,204150.462775061,470843.502233654
스타벅스 의정부민락점,영업,201708,202301,208228.520689409,471445.862093797
스타벅스 의정부민락타운점,영업,202006,202301,208627.776413231,471251.468626339
스타벅스 의정부송산역DT점,영업,202301,202301,207484.376341247,470859.313437751
스타벅스 의정부신곡DT점,영업,201906,202301,205556.258742635,469381.434136985
스타벅스 의정부예술의전당DT점,영업,201812,202301,203352.584720945,470068.31129534
스타벅스 의정부용현DT점,영업,201806,202301,207354.172648007,469770.1521406
스타벅스 의정부이마트,영업,202010,202301,208951.542114843,471192.156816017
스타벅스 의정부장암DT,영업,202012,202301,204750.937708848,466307.099631495
스타벅스 의정부중앙점,폐업,200811,201811,204173.286655306,470792.870947861
스타벅스 의정부회룡역DT점,영업,201612,202301,204115.833109912,468885.164705643
스타벅스커피 의정부금오점,영업,201307,202301,206143.881569375,472271.374982574
스타벅스커피 의정부녹양DT,영업,201512,202301,203577.772502019,472924.182659741
스타벅스 이천사음DT점,영업,201709,202301,236100.747787558,421988.723559772
스타벅스 이천증포DT점,영업,201902,202301,240463.675646676,421741.587511186
스타벅스 이천터미널,영업,201202,202301,239514.789592958,419668.539509834
스타벅스커피 이천하이닉스점,영업,201308,202301,243399.342452363,416842.326485657
스타벅스커피마장휴게소,폐업,201303,20230,236094.101912691,418052.206218779
스타벅스 파주P.아울렛 1F,영업,201908,202301,173172.828879481,474158.9428211
스타벅스 파주P.아울렛 3F,영업,201103,202301,173172.828879481,474158.9428211
스타벅스 파주가람점,영업,202212,202301,178761.345229363,470416.942071728
스타벅스 파주금릉역,영업,201311,202301,179303.214132105,472207.242339289
스타벅스 파주금촌역점,영업,201806,202301,180036.263554788,473522.786140064
스타벅스 파주문산DT점,영업,202108,202301,181364.782311134,482674.425614372
스타벅스 파주산내점,영업,202103,202301,176627.074328443,469608.561762603
스타벅스 파주야당DT점,영업,202011,202301,178738.227936653,466809.301127738
스타벅스 파주야당역,영업,201806,202301,178736.056191179,467788.75554979
스타벅스 파주운정이마트점,영업,202009,202301,177453.945515036,467576.438594292
스타벅스커피 파주운정점,영업,201404,202301,177399.189379121,467765.114929425
스타벅스 AK평택역사,폐업,200904,201407,207523.442711596,387674.877266816
스타벅스 평택고덕삼성점,영업,202302,202301,205276.542163998,392561.65560657
스타벅스 평택독곡DT점,영업,202303,202301,205530.449068548,398341.479742382
스타벅스 평택비전DT점,영업,202304,202301,209229.753980958,389944.134279064
스타벅스 평택서정DT점,영업,201907,202301,205580.037858554,396034.406174512
스타벅스 평택세교DT점,영업,202108,202301,206931.163660618,389530.933681151
스타벅스 평택안중DT점,영업,201912,202301,192219.128827317,387696.383896402
스타벅스 평택이마트점,영업,202203,202301,206675.071220529,391060.040415712
스타벅스 평택죽백DT점,영업,202006,202301,210021.063341451,390249.408148405
스타벅스 평택청북DT점,영업,202202,202301,192365.442972133,390949.465293441
스타벅스커피 평택로데오점,영업,201508,202301,207810.302859873,387830.462917531
스타벅스커피평택AK프라자,영업,201412,202301,207577.558056715,387700.245776573
