,사업장명,인허가일자,폐업일자,좌표정보(X),좌표정보(Y)
207,롯데백화점(강남점),20000616,20300101,204669.543366778,443873.621189048
208,선인상가,19871126,20300101,196839.641743356,447863.232025192
209,신동아쇼핑센터,19851112,20300101,198622.89264988,446114.155238838
210,홈플러스(주) 익스프레스 왕십리점,20120214,20300101,202806.018487131,451160.356013436
211,금남시장,19620121,20300101,201939.255278432,449589.21383235
212,자동차매매센타,19800905,20300101,205784.868811814,450883.524006222
213,서울풍물시장,20080806,20300101,202186.468072494,452282.607415166
214,홈플러스(주)익스프레스 뚝섬점,20120322,20230327,204257.584861091,449412.544118545
215,한남하이츠상가,19821016,20300101,201181.598996876,448609.588125745
216,대림리빙프라자,19980803,20300101,202326.503044305,450625.58422744
217,한진종합상가,20000331,20300101,202511.142930696,450401.303715561
218,(주)인트램,19681207,20300101,204830.977323063,449477.448459906
219,마장축산물시장,20060320,20300101,203323.787758273,451940.205444395
220,성동삼성쉐르빌상가,20070323,20300101,203017.021457357,451346.281102634
221,(주)이마트 왕십리점,20080627,20300101,203292.151898869,451267.730901002
222,ENTER-6,20080828,20300101,203321.562330114,451001.868687869
223,홈플러스(주) 익프스레스 금호2점,20120224,20300101,201383.023709556,449744.280482389
224,홈플러스(주) 익스프레스 금호점,20120321,20300101,201772.807083568,450250.366445197
225,노브랜드 엔터식스한양대점,20180228,20300101,203477.905432913,450542.454417279
226,녹번시장,19661207,20170404,193792.984914301,455370.61376951
227,홈플러스익스프레스 뚝섬2점,20130219,20300101,203841.225547969,449475.540141228
228,롯데쇼핑(주) 롯데슈퍼 장안점,20110907,20300101,206176.178625746,453248.09724644
229,롯데쇼핑(주) 롯데슈퍼 전농점,20110907,20300101,205271.704936121,452706.897879436
230,이천일 아울렛 구로점,20051117,20300101,187785.840457798,443997.135869884
231,롯데쇼핑(주)롯데마트 청량리점,20100811,20300101,204081.282117393,453187.395154017
232,홈플러스(주)익스프레스 성수점,20111004,20120504,204271.515183693,448744.245842924
233,금북시장,19690109,20151130,202004.452300224,450411.463616996
234,금호종합시장,19790810,20080522,201924.287403479,449505.43323776
235,용답동상가번영회,20060824,20110705,204566.046414287,451260.933119786
236,성동마트,20010913,20300101,205260.827743854,448399.948660115
